Macrotrends Data Download
date, value
2011-02-09,12239.8900
2011-02-10,12229.2900
2011-02-11,12273.2600
2011-02-14,12268.1900
2011-02-15,12226.6400
2011-02-16,12288.1700
2011-02-17,12318.1400
2011-02-18,12391.2500
2011-02-22,12212.7900
2011-02-23,12105.7800
2011-02-24,12068.5000
2011-02-25,12130.4500
2011-02-28,12226.3400
2011-03-01,12058.0200
2011-03-02,12066.8000
2011-03-03,12258.2000
2011-03-04,12169.8800
2011-03-07,12090.0300
2011-03-08,12214.3800
2011-03-09,12213.0900
2011-03-10,11984.6100
2011-03-11,12044.4000
2011-03-14,11993.1600
2011-03-15,11855.4200
2011-03-16,11613.3000
2011-03-17,11774.5900
2011-03-18,11858.5200
2011-03-21,12036.5300
2011-03-22,12018.6300
2011-03-23,12086.0200
2011-03-24,12170.5600
2011-03-25,12220.5900
2011-03-28,12197.8800
2011-03-29,12279.0100
2011-03-30,12350.6100
2011-03-31,12319.7300
2011-04-01,12376.7200
2011-04-04,12400.0300
2011-04-05,12393.9000
2011-04-06,12426.7500
2011-04-07,12409.4900
2011-04-08,12380.0500
2011-04-11,12381.1100
2011-04-12,12263.5800
2011-04-13,12270.9900
2011-04-14,12285.1500
2011-04-15,12341.8300
2011-04-18,12201.5900
2011-04-19,12266.7500
2011-04-20,12453.5400
2011-04-21,12505.9900
2011-04-25,12479.8800
2011-04-26,12595.3700
2011-04-27,12690.9600
2011-04-28,12763.3100
2011-04-29,12810.5400
2011-05-02,12807.3600
2011-05-03,12807.5100
2011-05-04,12723.5800
2011-05-05,12584.1700
2011-05-06,12638.7400
2011-05-09,12684.6800
2011-05-10,12760.3600
2011-05-11,12630.0300
2011-05-12,12695.9200
2011-05-13,12595.7500
2011-05-16,12548.3700
2011-05-17,12479.5800
2011-05-18,12560.1800
2011-05-19,12605.3200
2011-05-20,12512.0400
2011-05-23,12381.2600
2011-05-24,12356.2100
2011-05-25,12394.6600
2011-05-26,12402.7600
2011-05-27,12441.5800
2011-05-31,12569.7900
2011-06-01,12290.1400
2011-06-02,12248.5500
2011-06-03,12151.2600
2011-06-06,12089.9600
2011-06-07,12070.8100
2011-06-08,12048.9400
2011-06-09,12124.3600
2011-06-10,11951.9100
2011-06-13,11952.9700
2011-06-14,12076.1100
2011-06-15,11897.2700
2011-06-16,11961.5200
2011-06-17,12004.3600
2011-06-20,12080.3800
2011-06-21,12190.0100
2011-06-22,12109.6700
2011-06-23,12050.0000
2011-06-24,11934.5800
2011-06-27,12043.5600
2011-06-28,12188.6900
2011-06-29,12261.4200
2011-06-30,12414.3400
2011-07-01,12582.7700
2011-07-05,12569.8700
2011-07-06,12626.0200
2011-07-07,12719.4900
2011-07-08,12657.2000
2011-07-11,12505.7600
2011-07-12,12446.8800
2011-07-13,12491.6100
2011-07-14,12437.1200
2011-07-15,12479.7300
2011-07-18,12385.1600
2011-07-19,12587.4200
2011-07-20,12571.9100
2011-07-21,12724.4100
2011-07-22,12681.1600
2011-07-25,12592.8000
2011-07-26,12501.3000
2011-07-27,12302.5500
2011-07-28,12240.1100
2011-07-29,12143.2400
2011-08-01,12132.4900
2011-08-02,11866.6200
2011-08-03,11896.4400
2011-08-04,11383.6800
2011-08-05,11444.6100
2011-08-08,10809.8500
2011-08-09,11239.7700
2011-08-10,10719.9400
2011-08-11,11143.3100
2011-08-12,11269.0200
2011-08-15,11482.9000
2011-08-16,11405.9300
2011-08-17,11410.2100
2011-08-18,10990.5800
2011-08-19,10817.6500
2011-08-22,10854.6500
2011-08-23,11176.7600
2011-08-24,11320.7100
2011-08-25,11149.8200
2011-08-26,11284.5400
2011-08-29,11539.2500
2011-08-30,11559.9500
2011-08-31,11613.5300
2011-09-01,11493.5700
2011-09-02,11240.2600
2011-09-06,11139.3000
2011-09-07,11414.8600
2011-09-08,11295.8100
2011-09-09,10992.1300
2011-09-12,11061.1200
2011-09-13,11105.8500
2011-09-14,11246.7300
2011-09-15,11433.1800
2011-09-16,11509.0900
2011-09-19,11401.0100
2011-09-20,11408.6600
2011-09-21,11124.8400
2011-09-22,10733.8300
2011-09-23,10771.4800
2011-09-26,11043.8600
2011-09-27,11190.6900
2011-09-28,11010.9000
2011-09-29,11153.9800
2011-09-30,10913.3800
2011-10-03,10655.3000
2011-10-04,10808.7100
2011-10-05,10939.9500
2011-10-06,11123.3300
2011-10-07,11103.1200
2011-10-10,11433.1800
2011-10-11,11416.3000
2011-10-12,11518.8500
2011-10-13,11478.1300
2011-10-14,11644.4900
2011-10-17,11397.0000
2011-10-18,11577.0500
2011-10-19,11504.6200
2011-10-20,11541.7800
2011-10-21,11808.7900
2011-10-24,11913.6200
2011-10-25,11706.6200
2011-10-26,11869.0400
2011-10-27,12208.5500
2011-10-28,12231.1100
2011-10-31,11955.0100
2011-11-01,11657.9600
2011-11-02,11836.0400
2011-11-03,12044.4700
2011-11-04,11983.2400
2011-11-07,12068.3900
2011-11-08,12170.1800
2011-11-09,11780.9400
2011-11-10,11893.8600
2011-11-11,12153.6800
2011-11-14,12078.9800
2011-11-15,12096.1600
2011-11-16,11905.5900
2011-11-17,11770.7300
2011-11-18,11796.1600
2011-11-21,11547.3100
2011-11-22,11493.7200
2011-11-23,11257.5500
2011-11-25,11231.6500
2011-11-28,11523.0100
2011-11-29,11555.6300
2011-11-30,12045.6800
2011-12-01,12020.0300
2011-12-02,12019.4200
2011-12-05,12097.8300
2011-12-06,12150.1300
2011-12-07,12196.3700
2011-12-08,11997.7000
2011-12-09,12184.2600
2011-12-12,12021.3900
2011-12-13,11954.9400
2011-12-14,11823.4800
2011-12-15,11868.8100
2011-12-16,11866.3900
2011-12-19,11766.2600
2011-12-20,12103.5800
2011-12-21,12107.7400
2011-12-22,12169.6500
2011-12-23,12294.0000
2011-12-27,12291.3500
2011-12-28,12151.4100
2011-12-29,12287.0400
2011-12-30,12217.5600
2012-01-03,12397.3800
2012-01-04,12418.4200
2012-01-05,12415.7000
2012-01-06,12359.9200
2012-01-09,12392.6900
2012-01-10,12462.4700
2012-01-11,12449.4500
2012-01-12,12471.0200
2012-01-13,12422.0600
2012-01-17,12482.0700
2012-01-18,12578.9500
2012-01-19,12623.9800
2012-01-20,12720.4800
2012-01-23,12708.8200
